date,open,high,low,close,Volume USD
2017-03-26,956.02,997.0,937.52,960.0,8743839.72944225
2017-03-27,959.08,1043.0,952.95,1039.92,8754557.567630732
2017-03-28,1039.09,1068.26,1014.9,1043.99,9539496.42682061
2017-03-29,1042.83,1059.43,1008.16,1035.96,9677930.357457848
2017-03-30,1037.29,1050.17,1017.14,1033.7,8924623.214227336
2017-03-31,1033.7,1081.0,1031.43,1070.31,12716282.896763682
2017-04-01,1071.34,1097.0,1061.64,1083.94,5617134.445506488
2017-04-02,1083.95,1100.0,1066.49,1078.01,8274810.41367716
2017-04-03,1076.59,1152.0,1076.19,1144.77,12487836.675215188
2017-04-04,1146.42,1162.93,1118.85,1143.0,8472359.09611559
2017-04-05,1143.0,1145.0,1111.0,1134.58,6300599.08376727
2017-04-06,1134.86,1201.37,1134.36,1190.85,10690485.503378004
2017-04-07,1190.72,1202.0,1176.0,1190.66,6486692.562974069
2017-04-08,1190.66,1197.3,1166.66,1184.03,3224763.8672579806
2017-04-09,1184.03,1216.87,1173.98,1206.2,5765918.450061364
2017-04-10,1205.2,1219.71,1195.0,1209.25,4416993.02536995
2017-04-11,1209.99,1229.0,1198.02,1218.99,4230281.831315485
2017-04-12,1218.99,1224.57,1208.0,1212.17,4225237.299519555
2017-04-13,1212.16,1219.45,1141.0,1172.91,8411589.956690576
2017-04-14,1172.56,1193.0,1142.0,1170.34,10478697.762938095
2017-04-15,1169.53,1192.5,1165.0,1173.45,2128305.100777773
2017-04-16,1171.0,1179.3,1150.0,1162.31,3094742.5039822776
2017-04-17,1162.31,1192.5,1161.0,1176.54,4212369.822402512
2017-04-18,1176.59,1210.0,1175.95,1202.58,6636815.070300778
2017-04-19,1202.59,1209.99,1190.0,1203.98,7251339.837783998
2017-04-20,1203.98,1243.88,1201.66,1234.19,7302798.470648137
2017-04-21,1234.93,1252.32,1231.65,1243.61,6238078.488782242
2017-04-22,1243.6,1247.15,1199.0,1233.2,5126997.960532148
2017-04-23,1231.85,1248.99,1223.42,1241.99,3218854.5886253896
2017-04-24,1241.99,1254.0,1234.0,1253.58,3788868.114555634
2017-04-25,1253.58,1280.0,1251.07,1269.0,6651615.746218164
2017-04-26,1271.4,1330.0,1265.0,1287.99,11257731.711979955
2017-04-27,1287.92,1342.02,1285.0,1331.53,8813183.259511502
2017-04-28,1331.0,1347.02,1299.0,1330.7,10884311.982216548
2017-04-29,1333.93,1342.8,1316.0,1333.0,5226843.068989418
