date,open,high,low,close,Volume USD
2019-01-01,3694.72,3845.46,3629.66,3823.44,19091875.520471442
2019-01-02,3825.41,3918.67,3770.0,3885.87,21204648.83259347
2019-01-03,3890.27,3893.4,3760.0,3787.81,18342230.15478194
2019-01-04,3785.64,3850.33,3732.38,3817.71,28218551.1589586
2019-01-05,3822.0,3887.09,3780.0,3791.84,14019179.413419094
2019-01-06,3795.38,4090.0,3753.0,4040.71,21426605.639127266
2019-01-07,4040.71,4070.0,3964.01,4005.45,29898030.757877506
2019-01-08,4005.0,4112.0,3934.73,3994.9,47479488.987771235
2019-01-09,3994.75,4060.0,3948.44,4005.15,28005325.492287915
2019-01-10,4003.09,4036.22,3503.44,3627.51,54793864.7628055
2019-01-11,3627.65,3704.6,3569.85,3632.02,38423458.304798014
2019-01-12,3631.0,3650.35,3557.09,3617.13,11537938.849480392
2019-01-13,3617.75,3654.02,3476.0,3515.95,20937348.795280095
2019-01-14,3517.03,3714.0,3506.0,3664.28,35860975.5492831
2019-01-15,3664.28,3687.02,3534.68,3576.93,29239886.957744054
2019-01-16,3576.92,3669.0,3570.48,3605.91,27662067.877626754
2019-01-17,3609.5,3660.0,3534.25,3638.01,27015905.278288968
2019-01-18,3638.01,3641.9,3577.0,3609.21,18145313.431511205
2019-01-19,3609.29,3774.0,3602.6,3681.0,15096181.935382424
2019-01-20,3680.0,3703.27,3470.0,3536.72,19963216.963119145
2019-01-21,3537.42,3573.29,3485.58,3531.51,20585699.121515453
2019-01-22,3531.51,3615.8,3401.36,3576.81,24379983.14625004
2019-01-23,3574.44,3620.23,3518.0,3552.32,21998650.871063318
2019-01-24,3553.2,3598.0,3524.0,3570.73,15952657.329493491
2019-01-25,3570.67,3578.79,3511.0,3560.0,17621526.7170986
2019-01-26,3560.94,3657.89,3536.51,3555.56,9673822.098101368
2019-01-27,3555.31,3564.12,3456.0,3533.23,13628939.129027005
2019-01-28,3532.23,3536.77,3357.3,3429.5,35525274.48525014
2019-01-29,3431.43,3438.76,3322.19,3390.5,24706152.813032024
2019-01-30,3391.25,3465.05,3372.34,3437.35,19555175.699694447
2019-01-31,3438.0,3474.2,3392.6,3413.11,20360609.537626226
2019-02-01,3413.69,3460.0,3364.53,3434.83,22736291.137156572
2019-02-02,3434.83,3485.0,3406.38,3462.82,10488958.026861068
2019-02-03,3470.5,3476.33,3384.67,3414.82,9627452.789118469
2019-02-04,3413.75,3439.46,3394.85,3410.87,11074513.996956272
2019-02-05,3409.81,3435.0,3396.0,3431.39,13840500.517026378
2019-02-06,3431.81,3445.6,3328.7,3364.62,20701211.961183205
2019-02-07,3364.0,3383.29,3350.0,3359.33,14448026.521799268
2019-02-08,3358.39,3711.04,3337.91,3622.94,50265466.298768826
