date,open,high,low,close,Volume USD
2021-03-11,55918.09,58155.99,54269.0,57772.09,374107356.2623245
2021-03-12,57847.92,58098.5,55011.0,57271.04,296769043.53768736
2021-03-13,57297.67,61781.83,56080.96,61165.19,369277099.71681786
2021-03-14,61177.03,61700.0,58959.57,59016.39,197870620.4336944
2021-03-15,58956.9,60595.13,54555.0,55644.37,441438676.19567317
2021-03-16,55616.42,56950.0,53221.0,56908.34,425663667.1110064
2021-03-17,56928.38,58968.8,54124.0,58901.8,329024985.87358546
2021-03-18,58939.73,60083.25,57000.0,57648.05,323216043.48624563
2021-03-19,57648.01,59450.95,56279.34,58072.0,205451529.54934746
2021-03-20,58029.94,59957.0,57815.61,58138.39,140160704.53232926
2021-03-21,58072.87,58632.52,55500.0,57381.79,207556749.91155583
2021-03-22,57410.54,58461.78,53715.0,54070.92,367662231.8812919
2021-03-23,54117.71,55866.44,52933.03,54361.57,272955851.41326326
2021-03-24,54360.07,57207.33,51638.76,52287.52,377112717.321508
2021-03-25,52281.77,53271.59,50360.0,51326.11,346765510.00381416
2021-03-26,51292.65,55114.86,51263.38,55081.37,259920143.2752272
2021-03-27,55081.26,56686.15,53948.35,55839.42,144365955.2330533
2021-03-28,55817.85,56573.04,54677.51,55790.92,115470420.82959485
2021-03-29,55790.28,58402.68,54892.42,57600.1,306972186.7205242
2021-03-30,57623.66,59388.66,57011.0,58760.59,198375677.4615421
2021-03-31,58767.75,59816.17,56713.45,58782.58,269522860.17807144
2021-04-01,58789.96,59490.0,57935.42,58728.53,163931942.8926269
2021-04-02,58744.0,60103.04,58450.0,59003.6,152286636.0045108
2021-04-03,58967.61,59801.39,56922.0,57064.42,97447975.65283616
2021-04-04,57064.13,58501.0,56466.25,58212.18,82940789.95031168
2021-04-05,58213.69,59280.0,56800.0,59125.0,140037979.24633843
2021-04-06,59135.36,59473.9,57216.0,58018.3,158120735.8356188
2021-04-07,58024.9,58668.0,55441.93,55932.83,309198400.2398308
2021-04-08,55912.38,58145.49,55680.4,58096.6,262731717.37640285
