date,open,high,low,close,Volume USD
2020-01-01,7161.51,7237.35,7150.0,7178.68,8012433.269150898
2020-01-02,7174.7,7184.94,6900.0,6950.56,27924368.792740118
2020-01-03,6945.7,7402.31,6853.53,7338.91,58372769.16726229
2020-01-04,7332.58,7396.1,7256.03,7344.48,23824464.168612286
2020-01-05,7356.05,7495.0,7310.0,7356.7,20106501.392969903
2020-01-06,7352.12,7817.0,7342.46,7762.74,51135346.66656559
2020-01-07,7768.17,8220.0,7697.03,8159.01,96363781.12763059
2020-01-08,8151.79,8463.57,7872.09,8044.44,97925787.09311599
2020-01-09,8048.94,8048.94,7737.97,7806.78,47017381.34095558
2020-01-10,7812.7,8200.0,7667.0,8200.0,71502210.43964759
2020-01-11,8200.0,8286.0,8000.0,8016.22,30766744.016860526
2020-01-12,8008.1,8190.0,7960.0,8180.76,16670882.072715677
2020-01-13,8180.75,8196.81,8039.0,8105.01,32490153.15775986
2020-01-14,8105.01,8895.0,8105.01,8813.04,146228262.3685231
2020-01-15,8813.2,8903.2,8555.0,8809.17,75403164.65274075
2020-01-16,8810.62,8852.35,8573.91,8710.15,58123521.98901282
2020-01-17,8715.39,9015.22,8661.52,8892.63,83194960.54884641
2020-01-18,8898.03,9000.1,8798.9,8908.53,32714077.140461165
2020-01-19,8901.02,9188.1,8461.38,8696.6,77116349.18843956
2020-01-20,8698.97,8740.54,8507.93,8625.17,38176659.56648231
2020-01-21,8629.66,8778.66,8480.0,8717.89,29311460.21765164
2020-01-22,8728.47,8792.98,8567.68,8655.93,27227485.903995704
2020-01-23,8661.63,8665.95,8280.0,8378.44,72438722.06938277
2020-01-24,8382.08,8530.7,8212.9,8422.13,53847892.09167779
2020-01-25,8435.83,8437.47,8252.72,8329.5,23426440.386442456
2020-01-26,8320.0,8600.0,8276.22,8590.48,53458812.13533115
2020-01-27,8600.0,9004.35,8546.55,8894.54,84423846.71617521
2020-01-28,8894.57,9413.24,8876.0,9400.0,86988015.50561894
2020-01-29,9386.57,9443.96,9215.5,9289.18,60517333.05404229
2020-01-30,9280.83,9570.0,9166.07,9500.0,74642318.05545957
2020-01-31,9510.84,9529.35,9195.93,9327.85,46771592.05436626
2020-02-01,9339.26,9464.16,9280.33,9377.17,15646182.276009316
2020-02-02,9379.6,9474.28,9135.0,9329.39,28166198.353011057
2020-02-03,9309.69,9615.0,9211.07,9288.09,44530537.918647766
2020-02-04,9281.0,9348.6,9075.0,9159.37,44780479.02328996
2020-02-05,9168.49,9775.0,9142.52,9618.42,76501530.19022073
2020-02-06,9617.84,9859.57,9521.0,9754.63,73385310.33136314
2020-02-07,9754.63,9878.0,9706.94,9803.42,39265373.673460275
2020-02-08,9803.71,9948.97,9658.58,9902.0,32057430.522091836
2020-02-09,9907.7,10178.54,9885.04,10173.97,48602905.171049945
2020-02-10,10173.51,10199.85,9731.2,9850.01,74933656.71309908
2020-02-11,9851.99,10383.9,9706.94,10268.98,81805103.82683417
2020-02-12,10270.98,10495.0,10247.35,10348.78,67794333.44160476
2020-02-13,10348.78,10500.5,10068.0,10228.67,95962816.14962989
2020-02-14,10229.19,10398.0,10093.26,10364.04,63452709.73455253
2020-02-15,10364.04,10408.04,9739.0,9899.78,57917976.508517236
2020-02-16,9909.71,10051.24,9598.49,9912.89,40778062.6495125
2020-02-17,9925.96,9973.45,9467.57,9697.15,57259970.62953253
2020-02-18,9725.57,10288.0,9602.6,10185.17,67147887.68291712
2020-02-19,10190.3,10300.0,9312.0,9595.72,98768222.59578574
2020-02-20,9589.1,9706.27,9396.91,9612.76,63266044.29670134
2020-02-21,9610.4,9773.2,9562.6,9696.13,41404115.60521414
2020-02-22,9696.13,9722.39,9568.51,9668.13,20252460.823544733
2020-02-23,9664.08,10024.08,9664.08,9965.21,32930800.4099563
2020-02-24,9969.79,10027.66,9480.0,9652.58,57129155.76802122
2020-02-25,9664.87,9682.73,9234.21,9305.4,59371699.15152242
2020-02-26,9305.4,9369.99,8627.78,8779.36,103808519.56771585
2020-02-27,8778.37,8974.75,8520.0,8816.5,81517920.46546528
2020-02-28,8816.5,8900.94,8421.49,8703.84,56595416.28121968
2020-02-29,8710.0,8805.06,8525.0,8527.74,20286553.05574601
2020-03-01,8525.0,8756.11,8410.0,8528.95,35517872.23662823
2020-03-02,8516.0,8980.34,8486.72,8917.34,54345201.675475925
2020-03-03,8917.34,8921.8,8660.04,8755.45,40659459.50219397
2020-03-04,8755.45,8850.0,8663.76,8753.28,29341221.47386431
2020-03-05,8757.79,9169.0,8757.79,9066.65,58270163.481622495
2020-03-06,9059.0,9187.85,8990.01,9153.79,37643275.58979226
2020-03-07,9154.1,9219.13,8859.49,8893.93,25366488.52695499
2020-03-08,8901.12,8901.12,7995.48,8033.7,76134128.92905663
